Código,Nombre,Descripción,Pes,Coste
UFRED.FN.10X10X1,U FRED ferro negre 10x10x1,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/U XAPA,0.23,2.5
UFRED.FN.10X15X1,U FRED ferro negre 10x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/U XAPA,0.36,2.5
UFRED.FN.15X10X1,U FRED ferro negre 15x10x1,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/U XAPA,0.42,2.5
UFRED.FN.15X12X1,U FRED ferro negre 15x12x1,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/U XAPA,0.48,2.5
UFRED.FN.15X12X1.5,U FRED ferro negre 15x12x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/U XAPA,0.49,2.5
UFRED.FN.15X15X1,U FRED ferro negre 15x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/U XAPA,0.51,2.5
UFRED.FN.15X15X1.5,U FRED ferro negre 15x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/U XAPA,0.52,2.5
UFRED.FN.15X30X1,U FRED ferro negre 15x30x1,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/U XAPA,0.69,2.5
UFRED.FN.20X15X1,U FRED ferro negre 20x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/U XAPA,0.64,2.5
UFRED.FN.20X15X1.5,U FRED ferro negre 20x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/U XAPA,0.64,2.5
UFRED.FN.20X20X1,U FRED ferro negre 20x20x1,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/U XAPA,0.7,2.5
UFRED.FN.20X20X1.5,U FRED ferro negre 20x20x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/U XAPA,0.71,2.5
UFRED.FN.20X40X1.5,U FRED ferro negre 20x40x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/U XAPA,0.98,2.5
UFRED.FN.25X15X1,U FRED ferro negre 25x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/U XAPA,0.88,2.5
UFRED.FN.25X15X1.5,U FRED ferro negre 25x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/U XAPA,0.89,2.5
UFRED.FN.25X25X1,U FRED ferro negre 25x25x1,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/U XAPA,0.9,2.5
UFRED.FN.25X25X1.5,U FRED ferro negre 25x25x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/U XAPA,0.9,2.5
UFRED.FN.30X15X1,U FRED ferro negre 30x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/U XAPA,0.92,2.5
UFRED.FN.30X15X1.5,U FRED ferro negre 30x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/U XAPA,0.93,2.5
UFRED.I04.BRU.10X10X1,U FRED inox 304 brut 10x10x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRUT,0.23,3.5
UFRED.I04.BRU.10X15X1,U FRED inox 304 brut 10x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRUT,0.36,3.5
UFRED.I04.BRU.15X10X1,U FRED inox 304 brut 15x10x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRUT,0.42,3.5
UFRED.I04.BRU.15X12X1,U FRED inox 304 brut 15x12x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRUT,0.48,3.5
UFRED.I04.BRU.15X12X1.5,U FRED inox 304 brut 15x12x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRUT,0.49,3.5
UFRED.I04.BRU.15X15X1,U FRED inox 304 brut 15x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRUT,0.51,3.5
UFRED.I04.BRU.15X15X1.5,U FRED inox 304 brut 15x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRUT,0.52,3.5
UFRED.I04.BRU.15X30X1,U FRED inox 304 brut 15x30x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRUT,0.69,3.5
UFRED.I04.BRU.20X15X1,U FRED inox 304 brut 20x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRUT,0.64,3.5
UFRED.I04.BRU.20X15X1.5,U FRED inox 304 brut 20x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRUT,0.64,3.5
UFRED.I04.BRU.20X20X1,U FRED inox 304 brut 20x20x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRUT,0.7,3.5
UFRED.I04.BRU.20X20X1.5,U FRED inox 304 brut 20x20x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRUT,0.71,3.5
UFRED.I04.BRU.20X40X1.5,U FRED inox 304 brut 20x40x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRUT,0.98,3.5
UFRED.I04.BRU.25X15X1,U FRED inox 304 brut 25x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRUT,0.88,3.5
UFRED.I04.BRU.25X15X1.5,U FRED inox 304 brut 25x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRUT,0.89,3.5
UFRED.I04.BRU.25X25X1,U FRED inox 304 brut 25x25x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRUT,0.9,3.5
UFRED.I04.BRU.25X25X1.5,U FRED inox 304 brut 25x25x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRUT,0.9,3.5
UFRED.I04.BRU.30X15X1,U FRED inox 304 brut 30x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRUT,0.92,3.5
UFRED.I04.BRU.30X15X1.5,U FRED inox 304 brut 30x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRUT,0.93,3.5
UFRED.I04.SA.10X10X1,U FRED inox 304 satinat 10x10x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 SATI,0.23,4
UFRED.I04.SA.10X15X1,U FRED inox 304 satinat 10x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 SATI,0.36,4
UFRED.I04.SA.15X10X1,U FRED inox 304 satinat 15x10x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 SATI,0.42,4
UFRED.I04.SA.15X12X1,U FRED inox 304 satinat 15x12x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 SATI,0.48,4
UFRED.I04.SA.15X12X1.5,U FRED inox 304 satinat 15x12x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 SATI,0.49,4
UFRED.I04.SA.15X15X1,U FRED inox 304 satinat 15x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 SATI,0.51,4
UFRED.I04.SA.15X15X1.5,U FRED inox 304 satinat 15x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 SATI,0.52,4
UFRED.I04.SA.15X30X1,U FRED inox 304 satinat 15x30x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 SATI,0.69,4
